principio_ativo_limpo,categoria_terapeutica,total_produtos_registrados,produtos_principais,empresas_principais,popularidade_mercado,diversidade_formulacoes,texto_completo_busca,texto_resumo_busca
Alfasimoctocogue,Outros,1,Nuwiq,02552927000160 - OCTAPHARMA BRASIL LTDA,baixa,baixa,Medicamento: Alfasimoctocogue | Principio Ativo:  ALFASIMOCTOCOGUE | Classe Terapeutica: ANTI-HEMORRAGICOS | Categoria: Outros | Produtos Comerciais: Nuwiq | Total de Produtos: 1,Alfasimoctocogue - Outros
Abatacepte,Outros,1,Orencia,56998982000107 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Abatacepte | Principio Ativo: ABATACEPTE | Classe Terapeutica: ANTINFLAMATORIOS ANTIREUMATICOS | Categoria: Outros | Produtos Comerciais: Orencia | Total de Produtos: 1,Abatacepte - Outros
Abemaciclibe,Analgesico,1,VERZENIOS,43940618000144 - ELI LILLY DO BRASIL LTDA,baixa,baixa,Medicamento: Abemaciclibe | Principio Ativo: ABEMACICLIBE | Classe Terapeutica: INIBIDORES DA PROTEÍNA QUINASE  | Categoria: Analgesico | Produtos Comerciais: VERZENIOS | Total de Produtos: 1,Abemaciclibe - Analgesico
Abies Nigra Asa Foetida Ignatia Amara Phosphorus,Outros,1,COMPLEXO HOMEOPÁTICO IGNATIA ALMEIDA PRADO 35,60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA,baixa,baixa,Medicamento: Abies Nigra Asa Foetida Ignatia Amara Phosphorus | Principio Ativo: ABIES NIGRA +  ASA FOETIDA +  IGNATIA AMARA +  PHOSPHORUS | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: COMPLEXO HOMEOPÁTICO IGNATIA ALMEIDA PRADO 35 | Total de Produtos: 1,Abies Nigra Asa Foetida Ignatia Amara Phosphorus - Outros
Abrocitinibe,Outros,1,CIBINQO,61072393000133 - PFIZER BRASIL LTDA,baixa,baixa,Medicamento: Abrocitinibe | Principio Ativo: ABROCITINIBE | Classe Terapeutica: IMUNOSUPRESSOR | Categoria: Outros | Produtos Comerciais: CIBINQO | Total de Produtos: 1,Abrocitinibe - Outros
Abrus Precatorius Aconitum Napellus Atropa Belladonna Aconitum Calendula Officinalis L. Chelidonium Majus Viburnum Opulus,Outros,1,SÉDATIF PC,07498711000187 - BOIRON MEDICAMENTOS HOMEOPÁTICOS LTDA,baixa,baixa,Medicamento: Abrus Precatorius Aconitum Napellus Atropa Belladonna Aconitum Calendula Officinalis L. Chelidonium Majus Viburnum Opulus | Principio Ativo: ABRUS PRECATORIUS +  ACONITUM NAPELLUS +  ATROPA BELLADONNA +  ACONITUM +  CALENDULA OFFICINALIS L. +  CHELIDONIUM MAJUS +  VIBURNUM OPULUS | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: SÉDATIF PC | Total de Produtos: 1,Abrus Precatorius Aconitum Napellus Atropa Belladonna Aconitum Calendula Officinalis L. Chelidonium Majus Viburnum Opulus - Outros
Acalabrutinibe,Analgesico,1,CALQUENCE,60318797000100 - ASTRAZENECA DO BRASIL LTDA,baixa,baixa,Medicamento: Acalabrutinibe | Principio Ativo: ACALABRUTINIBE | Classe Terapeutica: AGENTES ANTINEOPLÁSICOS + INIBIDORES DA PROTEÍNA QUINASE  | Categoria: Analgesico | Produtos Comerciais: CALQUENCE | Total de Produtos: 1,Acalabrutinibe - Analgesico
Acarbose,Outros,1,AGLUCOSE,00923140000131 - EMS SIGMA PHARMA LTDA,baixa,baixa,Medicamento: Acarbose | Principio Ativo: ACARBOSE | Classe Terapeutica: ANTIDIABETICOS | Categoria: Outros | Produtos Comerciais: AGLUCOSE | Total de Produtos: 1,Acarbose - Outros
Acebrofilina,Analgesico,29,ACEBROFILINA; Acebrofilina; BRONCOLEX,73856593000166 - PRATI DONADUZZI & CIA LTDA; 03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A; 61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,alta,alta,Medicamento: Acebrofilina | Principio Ativo: ACEBROFILINA | Classe Terapeutica: BRONCODILATADORES | Categoria: Analgesico | Produtos Comerciais: ACEBROFILINA; Acebrofilina; BRONCOLEX | Total de Produtos: 29,Acebrofilina - Analgesico
Aceclofenaco,Outros,21,ACECLOFENACO; ACEFLOR; Aceclo-gran,73663650000190 - RANBAXY FARMACÊUTICA LTDA; 45992062000165 - GERMED FARMACEUTICA LTDA; 57507378000365 - EMS S/A,alta,alta,Medicamento: Aceclofenaco | Principio Ativo: ACECLOFENACO | Classe Terapeutica: ANTINFLAMATORIOS | Categoria: Outros | Produtos Comerciais: ACECLOFENACO; ACEFLOR; Aceclo-gran | Total de Produtos: 21,Aceclofenaco - Outros
Acefilinato De Heptaminol Cinarizina,Analgesico,1,SUREPTIL,61099966000112 - SANOFI - SYNTHELABO FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Acefilinato De Heptaminol Cinarizina | Principio Ativo: ACEFILINATO DE HEPTAMINOL +  CINARIZINA | Classe Terapeutica: VASODILATADORES | Categoria: Analgesico | Produtos Comerciais: SUREPTIL | Total de Produtos: 1,Acefilinato De Heptaminol Cinarizina - Analgesico
Aceponato De Metilprednisolona,Outros,1,ADVANTAN,11424477000110 - LEO PHARMA LTDA,baixa,baixa,Medicamento: Aceponato De Metilprednisolona | Principio Ativo: ACEPONATO DE METILPREDNISOLONA | Classe Terapeutica: GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM. | Categoria: Outros | Produtos Comerciais: ADVANTAN | Total de Produtos: 1,Aceponato De Metilprednisolona - Outros
